envoy-1  | 2026-09-23T10:19:32.876221655Z [2026-09-23 10:19:32.876][1][info][main] [external/envoy/source/server/server.cc:534]   response header map: 432 bytes: :status,access-control-allow-credentials,access-control-allow-headers,access-control-allow-methods,access-control-allow-origin,access-control-allow-private-network,access-control-expose-headers,access-control-max-age,age,cache-control,connection,content-encoding,content-length,content-type,date,etag,expires,grpc-message,grpc-status,keep-alive,last-modified,location,proxy-connection,proxy-status,server,transfer-encoding,upgrade,vary,via,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-degraded,x-envoy-immediate-health-check-fail,x-envoy-ratelimited,x-envoy-upstream-canary,x-envoy-upstream-healthchecked-cluster,x-envoy-upstream-service-time,x-request-id
envoy-1  | 2026-09-23T10:19:32.876228910Z [2026-09-23 10:19:32.876][1][info][main] [external/envoy/source/server/server.cc:534]   response trailer map: 144 bytes: grpc-message,grpc-status
envoy-1  | 2026-09-23T10:19:32.884442546Z [2026-09-23 10:19:32.884][1][info][main] [external/envoy/source/server/server.cc:942] runtime: {}
envoy-1  | 2026-09-23T10:19:32.884515329Z [2026-09-23 10:19:32.884][1][info][main] [external/envoy/source/server/server.cc:774] Starting admin HTTP server at 0.0.0.0:9901
envoy-1  | 2026-09-23T10:19:32.884637213Z [2026-09-23 10:19:32.884][1][info][admin] [external/envoy/source/server/admin/admin.cc:65] admin address: 0.0.0.0:9901
envoy-1  | 2026-09-23T10:19:32.884741692Z [2026-09-23 10:19:32.884][1][info][config] [external/envoy/source/server/configuration_impl.cc:181] loading tracing configuration
envoy-1  | 2026-09-23T10:19:32.884748951Z [2026-09-23 10:19:32.884][1][info][config] [external/envoy/source/server/configuration_impl.cc:132] loading 0 static secret(s)
envoy-1  | 2026-09-23T10:19:32.884753977Z [2026-09-23 10:19:32.884][1][info][config] [external/envoy/source/server/configuration_impl.cc:138] loading 2 cluster(s)
envoy-1  | 2026-09-23T10:19:32.886917460Z [2026-09-23 10:19:32.886][1][info][config] [external/envoy/source/server/configuration_impl.cc:148] loading 1 listener(s)
envoy-1  | 2026-09-23T10:19:32.939347703Z [2026-09-23 10:19:32.939][1][debug][wasm] [external/envoy/source/extensions/common/wasm/wasm.cc:326] Base Wasm created 1 now active
